"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2017","195.75","193.30","197.52","191.90","16.67M","1.32%"
"11/12/2017","193.20","191.12","197.70","191.00","21.85M","0.61%"
"11/05/2017","192.02","200.00","202.48","189.50","29.15M","-3.99%"
"10/29/2017","200.01","199.62","201.10","195.22","23.26M","0.24%"
"10/22/2017","199.54","194.17","200.65","191.03","32.68M","2.77%"
"10/15/2017","194.16","201.95","204.38","191.16","70.23M","-2.67%"
"10/08/2017","199.49","199.10","200.82","192.10","39.49M","0.74%"
"10/01/2017","198.02","182.11","198.92","176.58","55.30M","9.19%"
"09/24/2017","181.35","186.46","186.55","176.55","28.99M","-3.20%"
"09/17/2017","187.35","183.61","189.95","182.73","27.58M","2.74%"
"09/10/2017","182.35","178.10","185.33","178.03","27.09M","3.36%"
"09/03/2017","176.42","173.40","180.39","172.44","23.97M","0.96%"
"08/27/2017","174.74","166.43","176.48","164.73","27.07M","5.30%"
"08/20/2017","165.95","166.91","171.24","164.23","25.43M","-0.35%"
"08/13/2017","166.54","169.80","172.45","165.72","32.75M","-2.84%"
"08/06/2017","171.40","181.00","182.27","167.60","35.10M","-4.92%"
"07/30/2017","180.27","184.26","184.97","177.81","24.89M","-2.05%"
"07/23/2017","184.04","188.68","190.25","179.38","36.07M","-2.39%"
"07/16/2017","188.54","162.91","191.50","160.02","93.61M","17.02%"
"07/09/2017","161.12","150.34","161.35","149.65","30.99M","7.28%"
"07/02/2017","150.18","149.80","150.75","144.25","19.58M","0.52%"
"06/25/2017","149.41","158.78","159.97","148.00","31.39M","-5.45%"
"06/18/2017","158.02","154.29","158.19","151.40","27.25M","3.70%"
"06/11/2017","152.38","155.30","155.68","147.30","43.29M","-3.58%"
"06/04/2017","158.03","165.49","166.87","154.50","25.62M","-4.33%"
"05/28/2017","165.18","163.60","165.36","160.74","18.31M","1.69%"
"05/21/2017","162.43","157.86","164.10","156.43","23.50M","3.45%"
"05/14/2017","157.02","160.25","161.78","153.00","27.52M","-2.36%"
"05/07/2017","160.81","156.55","161.10","155.30","26.37M","2.69%"
"04/30/2017","156.60","151.91","158.59","151.61","29.27M","2.89%"
"04/23/2017","152.20","143.61","153.52","143.40","48.83M","6.53%"
"04/16/2017","142.87","144.43","147.40","138.66","62.50M","-0.03%"
"04/09/2017","142.92","143.04","145.74","141.21","18.50M","-0.13%"
"04/02/2017","143.11","146.70","148.01","142.71","19.94M","-3.18%"
"03/26/2017","147.81","140.83","148.29","140.00","21.61M","4.08%"
"03/19/2017","142.02","145.45","147.70","140.76","24.84M","-2.13%"
"03/12/2017","145.11","140.90","146.50","140.32","27.14M","3.00%"
"03/05/2017","140.89","141.00","142.84","139.74","21.42M","1.26%"
"02/26/2017","139.14","143.12","143.92","138.26","23.46M","-2.87%"
"02/19/2017","143.25","142.99","144.49","141.52","15.02M","0.72%"
"02/12/2017","142.22","145.19","145.95","140.05","25.90M","-1.80%"
"02/05/2017","144.82","140.00","145.30","139.16","29.74M","3.26%"
"01/29/2017","140.25","141.77","142.41","138.80","25.54M","-1.54%"
"01/22/2017","142.45","138.65","142.49","137.03","37.16M","2.78%"
"01/15/2017","138.60","135.04","143.46","131.06","61.09M","3.66%"
