"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2023","109.46","107.39","109.58","104.97","103.63M","0.51%"
"04/02/2023","108.90","102.67","109.63","102.38","97.65M","4.71%"
"03/26/2023","104.00","105.32","105.40","100.28","129.57M","-1.94%"
"03/19/2023","106.06","101.06","107.51","100.79","148.12M","3.51%"
"03/12/2023","102.46","90.57","103.49","89.94","232.91M","12.58%"
"03/05/2023","91.01","94.36","96.30","90.80","135.07M","-3.20%"
"02/26/2023","94.02","90.09","94.11","89.52","133.18M","5.23%"
"02/19/2023","89.35","93.24","93.41","88.86","121.98M","-5.54%"
"02/12/2023","94.59","95.01","97.88","92.65","189.40M","-0.28%"
"02/05/2023","94.86","102.68","108.67","93.86","279.98M","-9.85%"
"01/29/2023","105.22","98.75","108.82","97.52","156.51M","4.48%"
"01/22/2023","100.71","99.13","101.58","95.26","143.75M","1.44%"
"01/15/2023","99.28","92.78","99.42","90.84","124.99M","6.98%"
"01/08/2023","92.80","89.19","92.98","86.70","113.24M","5.26%"
"01/01/2023","88.16","89.83","91.55","85.57","97.53M","-0.64%"
"12/25/2022","88.73","89.31","89.50","86.37","70.82M","-1.20%"
"12/18/2022","89.81","90.88","91.20","86.94","106.81M","-1.16%"
"12/11/2022","90.86","93.09","99.80","90.01","165.41M","-2.37%"
"12/04/2022","93.07","99.82","101.75","93.02","114.96M","-7.70%"
"11/27/2022","100.83","97.20","102.59","94.39","120.68M","3.31%"
"11/20/2022","97.60","97.56","99.07","94.41","63.70M","-0.20%"
"11/13/2022","97.80","95.50","100.42","95.11","127.45M","1.11%"
"11/06/2022","96.73","87.34","97.36","86.96","156.76M","11.57%"
"10/30/2022","86.70","95.78","96.35","83.45","205.33M","-10.23%"
"10/23/2022","96.58","102.09","105.10","91.90","216.00M","-4.83%"
"10/16/2022","101.48","99.52","104.22","98.23","120.61M","4.42%"
"10/09/2022","97.18","99.85","101.29","95.27","110.93M","-2.40%"
"10/02/2022","99.57","97.22","103.73","97.02","107.30M","3.56%"
"09/25/2022","96.15","98.61","101.40","96.03","119.48M","-3.05%"
"09/18/2022","99.17","102.54","104.02","98.01","117.27M","-4.30%"
"09/11/2022","103.63","111.99","112.64","101.86","165.90M","-7.29%"
"09/04/2022","111.78","108.14","112.00","106.51","86.96M","2.85%"
"08/28/2022","108.68","110.78","111.96","108.13","110.24M","-2.35%"
"08/21/2022","111.30","116.10","117.78","111.22","96.33M","-5.77%"
"08/14/2022","118.12","122.21","123.26","117.67","84.58M","-3.69%"
"08/07/2022","122.65","119.12","122.65","116.56","85.78M","3.75%"
"07/31/2022","118.22","115.53","119.50","114.26","97.44M","1.35%"
"07/24/2022","116.64","108.88","116.90","104.76","161.03M","7.64%"
"07/17/2022","108.36","113.44","116.33","107.60","162.85M","-3.91%"
"07/10/2022","112.77","118.65","118.79","109.33","157.46M","-6.16%"
"07/03/2022","120.17","107.51","120.43","106.25","126.55M","10.16%"
"06/26/2022","109.08","118.93","119.25","107.11","148.86M","-7.98%"
"06/19/2022","118.54","109.70","118.64","109.29","126.76M","9.89%"
"06/12/2022","107.87","107.45","112.06","105.63","174.26M","-3.20%"
"06/05/2022","111.43","116.74","119.40","110.86","127.24M","-2.74%"
"05/29/2022","114.56","113.08","117.90","112.57","132.38M","1.56%"
"05/22/2022","112.80","110.10","112.87","102.21","190.06M","3.19%"
"05/15/2022","109.31","115.38","117.23","106.37","139.62M","-6.18%"
"05/08/2022","116.52","113.30","118.08","110.11","173.38M","0.74%"
"05/01/2022","115.66","113.91","123.14","113.40","163.12M","0.60%"
"04/24/2022","114.97","119.43","123.28","113.12","216.64M","-3.89%"
"04/17/2022","119.61","127.41","131.92","119.14","136.81M","-6.00%"
"04/10/2022","127.25","132.90","132.94","127.11","90.22M","-5.04%"
"04/03/2022","134.01","140.82","144.04","133.75","97.80M","-4.75%"
"03/27/2022","140.70","140.68","144.16","138.80","126.49M","-0.58%"
"03/20/2022","141.52","136.85","141.96","134.61","121.55M","3.45%"
"03/13/2022","136.80","130.57","136.91","126.41","162.50M","4.85%"
"03/06/2022","130.48","131.90","134.20","125.86","157.55M","-1.25%"
"02/27/2022","132.12","133.28","136.71","130.41","122.53M","-1.78%"
"02/20/2022","134.52","129.99","135.39","124.76","134.74M","3.11%"
"02/13/2022","130.47","133.37","137.95","130.31","141.81M","-2.73%"
"02/06/2022","134.13","143.71","143.85","133.29","179.32M","-6.21%"
"01/30/2022","143.02","134.20","152.10","132.27","281.16M","7.30%"
"01/23/2022","133.29","126.03","133.37","124.64","191.73M","2.46%"
"01/16/2022","130.09","136.60","138.40","130.00","112.05M","-6.94%"
"01/09/2022","139.79","135.10","143.19","133.14","131.63M","2.03%"
"01/02/2022","137.00","144.48","146.61","135.79","146.25M","-5.30%"
"12/26/2021","144.68","147.46","148.43","144.68","79.20M","-1.67%"
"12/19/2021","147.14","140.68","148.57","140.25","72.08M","3.04%"
"12/12/2021","142.80","148.44","148.56","141.79","146.97M","-3.95%"
"12/05/2021","148.68","143.57","149.60","140.65","104.64M","4.32%"
"11/28/2021","142.52","144.30","146.86","140.98","144.35M","-0.20%"
"11/21/2021","142.81","150.14","150.74","142.49","76.22M","-4.77%"
"11/14/2021","149.95","150.00","151.85","148.35","95.26M","0.21%"
"11/07/2021","149.65","150.00","151.03","145.32","87.48M","0.27%"
"10/31/2021","149.24","148.16","150.57","143.58","116.42M","0.65%"
"10/24/2021","148.27","138.81","149.12","136.75","162.56M","6.96%"
