"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2009","4.38","3.91","4.40","3.87","830.63M","12.31%"
"05/24/2009","3.90","3.75","3.98","3.73","445.81M","3.17%"
"05/17/2009","3.78","3.70","4.06","3.65","626.71M","2.72%"
"05/10/2009","3.68","3.84","3.99","3.67","771.11M","-5.64%"
"05/03/2009","3.90","4.01","4.18","3.82","786.70M","-1.27%"
"04/26/2009","3.95","4.19","4.27","3.89","840.71M","-6.40%"
"04/19/2009","4.22","3.92","4.33","3.84","1.29B","8.21%"
"04/12/2009","3.90","3.99","4.00","3.68","733.85M","-2.26%"
"04/05/2009","3.99","3.86","4.00","3.73","484.90M","2.05%"
"03/29/2009","3.91","3.52","3.92","3.49","824.62M","10.76%"
"03/22/2009","3.53","3.57","3.78","3.49","784.04M","0.86%"
"03/15/2009","3.50","3.43","3.70","3.33","980.83M","2.04%"
"03/08/2009","3.43","3.11","3.49","3.01","1.26B","11.36%"
"03/01/2009","3.08","3.20","3.29","2.99","1.18B","-4.94%"
"02/22/2009","3.24","3.21","3.31","3.05","910.07M","1.57%"
"02/15/2009","3.19","3.08","3.21","3.03","612.40M","0.95%"
"02/08/2009","3.16","3.33","3.37","3.09","814.59M","-5.11%"
"02/01/2009","3.33","2.93","3.35","2.91","1.40B","13.27%"
"01/25/2009","2.94","2.51","2.99","2.39","1.64B","16.21%"
"01/18/2009","2.53","2.54","2.58","2.41","510.69M","-1.94%"
"01/11/2009","2.58","2.71","2.71","2.38","955.51M","-7.19%"
"01/04/2009","2.78","2.79","2.91","2.65","836.10M","2.21%"
"12/28/2008","2.72","2.57","2.73","2.43","564.00M","5.02%"
"12/21/2008","2.59","2.58","2.70","2.42","465.48M","0.39%"
"12/14/2008","2.58","2.53","2.74","2.41","878.31M","0.78%"
"12/07/2008","2.56","2.46","2.72","2.37","965.48M","6.22%"
"11/30/2008","2.41","2.10","2.52","1.94","1.40B","13.15%"
"11/23/2008","2.13","1.94","2.21","1.94","894.02M","12.70%"
"11/16/2008","1.89","2.00","2.06","1.73","1.44B","-9.57%"
"11/09/2008","2.09","2.50","2.53","1.92","1.25B","-15.04%"
"11/02/2008","2.46","2.82","2.94","2.31","985.34M","-13.99%"
"10/26/2008","2.86","2.45","2.99","2.42","1.23B","16.73%"
"10/19/2008","2.45","2.61","2.65","2.17","1.78B","-3.16%"
"10/12/2008","2.53","2.95","3.20","2.17","1.60B","-9.96%"
"10/05/2008","2.81","3.20","3.32","2.55","1.45B","-16.12%"
"09/28/2008","3.35","3.42","3.66","3.07","1.09B","-5.37%"
"09/21/2008","3.54","4.06","4.08","3.40","757.25M","-12.59%"
"09/14/2008","4.05","3.84","4.34","3.50","1.25B","3.32%"
"09/07/2008","3.92","4.11","4.19","3.75","781.02M","-1.01%"
"08/31/2008","3.96","4.16","4.22","3.85","562.63M","-1.98%"
"08/24/2008","4.04","4.23","4.23","4.03","538.62M","-5.16%"
"08/17/2008","4.26","4.30","4.31","4.05","599.34M","-1.39%"
"08/10/2008","4.32","4.01","4.59","3.99","1.08B","7.20%"
"08/03/2008","4.03","3.80","4.06","3.75","666.18M","6.33%"
"07/27/2008","3.79","3.85","3.99","3.70","698.04M","-3.32%"
"07/20/2008","3.92","3.48","4.12","3.29","1.48B","13.29%"
"07/13/2008","3.46","3.47","3.64","3.15","1.01B","0.87%"
"07/06/2008","3.43","3.62","3.77","3.34","801.32M","-4.72%"
"06/29/2008","3.60","3.75","3.81","3.53","573.80M","-3.49%"
"06/22/2008","3.73","4.07","4.11","3.63","902.27M","-7.90%"
"06/15/2008","4.05","3.92","4.22","3.92","694.29M","2.27%"
"06/08/2008","3.96","4.06","4.08","3.75","613.17M","-1.74%"
"06/01/2008","4.03","4.06","4.24","3.96","714.53M","-1.23%"
"05/25/2008","4.08","3.91","4.10","3.90","578.81M","4.08%"
"05/18/2008","3.92","3.95","4.24","3.87","907.95M","2.62%"
"05/11/2008","3.82","3.65","3.84","3.59","599.07M","5.52%"
"05/04/2008","3.62","3.86","3.89","3.58","658.94M","-6.46%"
"04/27/2008","3.87","4.03","4.12","3.82","819.01M","-4.21%"
"04/20/2008","4.04","4.00","4.13","3.85","1.33B","1.00%"
"04/13/2008","4.00","3.58","4.10","3.53","818.62M","11.11%"
"04/06/2008","3.60","3.87","3.92","3.58","626.87M","-6.25%"
"03/30/2008","3.84","3.51","3.95","3.48","782.28M","10.03%"
"03/23/2008","3.49","3.69","3.85","3.46","705.13M","-4.64%"
"03/16/2008","3.66","3.29","3.70","3.25","834.39M","7.33%"
"03/09/2008","3.41","3.19","3.53","3.15","999.06M","6.56%"
"03/02/2008","3.20","3.18","3.33","3.06","1.21B","-0.62%"
"02/24/2008","3.22","3.62","3.67","3.20","1.03B","-10.56%"
"02/17/2008","3.60","3.68","3.71","3.47","781.25M","-1.37%"
"02/10/2008","3.65","3.66","3.94","3.60","938.20M","-0.54%"
"02/03/2008","3.67","3.73","3.83","3.36","1.15B","-1.61%"
"01/27/2008","3.73","3.85","3.97","3.44","2.06B","-3.87%"
"01/20/2008","3.88","3.68","4.07","3.50","1.06B","-2.76%"
"01/13/2008","3.99","4.11","4.17","3.90","1.09B","-1.48%"
"01/06/2008","4.05","4.43","4.59","4.01","1.22B","-8.78%"
"12/30/2007","4.44","4.69","4.87","4.42","780.41M","-5.93%"
"12/23/2007","4.72","4.55","4.79","4.51","443.32M","3.51%"
"12/16/2007","4.56","4.45","4.61","4.19","701.70M","2.47%"
"12/09/2007","4.45","4.72","4.80","4.45","696.70M","-5.72%"
"12/02/2007","4.72","4.50","4.75","4.49","587.14M","4.19%"
"11/25/2007","4.53","4.12","4.57","4.06","850.42M","11.30%"
"11/18/2007","4.07","3.94","4.10","3.90","594.47M","3.56%"
"11/11/2007","3.93","3.91","4.06","3.83","845.54M","-0.25%"
"11/04/2007","3.94","4.22","4.46","3.94","944.41M","-8.37%"
"10/28/2007","4.30","4.52","4.57","4.17","761.09M","-4.44%"
"10/21/2007","4.50","4.46","5.05","4.16","2.27B","0.22%"
"10/14/2007","4.49","4.59","4.61","4.42","725.38M","-2.81%"
"10/07/2007","4.62","4.71","4.84","4.41","766.77M","-1.07%"
"09/30/2007","4.67","4.67","4.71","4.57","483.34M","0.21%"
"09/23/2007","4.66","4.57","4.71","4.54","490.60M","1.97%"
"09/16/2007","4.57","4.35","4.59","4.30","643.72M","4.10%"
"09/09/2007","4.39","4.25","4.44","4.13","624.15M","3.78%"
"09/02/2007","4.23","4.00","4.32","3.99","687.84M","5.75%"
"08/26/2007","4.00","4.03","4.04","3.80","571.75M","1.01%"
"08/19/2007","3.96","3.75","3.97","3.69","650.75M","5.60%"
"08/12/2007","3.75","3.80","3.82","3.50","728.50M","0.27%"
"08/05/2007","3.74","3.85","4.00","3.62","854.70M","-2.60%"
"07/29/2007","3.84","4.15","4.20","3.75","1.25B","-8.57%"
"07/22/2007","4.20","3.59","4.45","3.44","2.67B","17.32%"
"07/15/2007","3.58","3.74","3.74","3.52","702.51M","-4.53%"
"07/08/2007","3.75","3.47","3.77","3.45","1.09B","8.70%"
"07/01/2007","3.45","3.44","3.50","3.40","325.04M","0.88%"
"06/24/2007","3.42","3.47","3.51","3.34","844.00M","-0.58%"
"06/17/2007","3.44","3.62","3.63","3.42","904.62M","-4.97%"
"06/10/2007","3.62","3.65","3.65","3.46","1.06B","-1.09%"
"06/03/2007","3.66","3.41","3.74","3.38","1.84B","6.71%"
"05/27/2007","3.43","3.42","3.54","3.39","773.16M","0.00%"
"05/20/2007","3.43","3.18","3.67","3.17","2.60B","8.20%"
"05/13/2007","3.17","3.08","3.18","3.00","1.05B","2.92%"
"05/06/2007","3.08","3.12","3.16","2.98","1.11B","-2.53%"
"04/29/2007","3.16","3.10","3.19","3.01","1.70B","0.96%"
"04/22/2007","3.13","2.21","3.19","2.21","4.92B","39.11%"
"04/15/2007","2.25","2.19","2.27","2.18","746.87M","6.13%"
"04/08/2007","2.12","2.09","2.12","2.06","421.91M","1.92%"
"04/01/2007","2.08","1.99","2.09","1.98","408.34M","4.52%"
"03/25/2007","1.99","1.95","2.01","1.92","522.94M","2.05%"
"03/18/2007","1.95","1.90","1.99","1.90","427.14M","3.17%"
"03/11/2007","1.89","1.93","1.95","1.86","656.14M","-2.58%"
"03/04/2007","1.94","1.86","1.97","1.85","898.12M","3.19%"
"02/25/2007","1.88","2.04","2.06","1.88","753.17M","-7.84%"
"02/18/2007","2.04","2.01","2.10","2.00","490.08M","0.99%"
"02/11/2007","2.02","1.94","2.02","1.92","501.68M","4.12%"
"02/04/2007","1.94","1.86","1.98","1.84","733.59M","3.74%"
"01/28/2007","1.87","1.83","1.97","1.83","1.43B","1.63%"
"01/21/2007","1.84","1.88","1.91","1.81","596.18M","-0.54%"
"01/14/2007","1.85","1.92","1.95","1.83","517.99M","-3.14%"
"01/07/2007","1.91","1.91","1.92","1.85","599.06M","-0.52%"
"12/31/2006","1.92","1.93","1.96","1.88","507.87M","-2.54%"
"12/24/2006","1.97","2.01","2.03","1.97","336.68M","-1.99%"
"12/17/2006","2.01","2.01","2.03","1.91","680.55M","0.50%"
"12/10/2006","2.00","1.91","2.01","1.90","582.83M","4.17%"
"12/03/2006","1.92","1.97","1.98","1.89","660.17M","-2.54%"
"11/26/2006","1.97","2.11","2.14","1.95","771.77M","-7.08%"
"11/19/2006","2.12","2.12","2.16","2.10","391.22M","-0.47%"
"11/12/2006","2.13","1.96","2.15","1.96","973.76M","8.67%"
"11/05/2006","1.96","1.88","1.99","1.88","615.76M","4.81%"
"10/29/2006","1.87","1.90","1.93","1.84","614.74M","-2.09%"
"10/22/2006","1.91","1.62","1.92","1.61","2.03B","17.18%"
"10/15/2006","1.63","1.64","1.66","1.59","572.89M","-2.40%"
"10/08/2006","1.67","1.62","1.69","1.61","568.52M","2.45%"
"10/01/2006","1.63","1.60","1.67","1.53","691.90M","1.24%"
